programming years, years worked in a professional software development context,age,gender,pretest
7,2,27,Male,5
7,1,25,Male,6
4,4,25,Male,7
10,1,28,Female,7
16,7,28,Male,7
2,2,27,Male,7
6,4,21,Male,7
10,3,25,Male,7
6,2,26,Male,6
8,7,33,Male,7
5,2,26,Male,7
8,3,30,Female,6
5,5,36,Male,7
4,1,21,Male,6
4,3,31,Male,7
4,1,20,Female,7
7,1,23,Male,5
2,0,21,Male,7
2,0,22,Female,7
2,0,21,Male,7
9,3,27,Male,7
3,0,20,Male,7
6,1,22,Male,7
25,15,35,Male,7
3,0,22,Female,5
3,2,22,Prefer not to say,5
3,0,20,Female,5
2,0,23,Female,7